year,DeepSeek-V3.2,DeepSeek-V4-Flash,GLM-5.1,Llama-3.3-70B-Instruct-Turbo,Meta-Llama-3.1-8B-Instruct,Qwen3.5-0.8B,Qwen3.5-2B,Qwen3.5-4B,gemma-3-12b-it,gemma-3-27b-it,gemma-3-4b-it,gemma-4-31B-it
2018,88.88888888888889,92.22222222222223,95.55555555555556,77.77777777777779,55.55555555555556,50.56179775280899,61.111111111111114,80.0,75.55555555555556,78.88888888888889,54.44444444444444,93.33333333333333
2019,87.77777777777777,87.77777777777777,92.13483146067416,80.0,58.88888888888889,43.333333333333336,55.55555555555556,86.66666666666667,72.22222222222221,77.77777777777779,61.111111111111114,90.0
2020,86.51685393258427,92.13483146067416,94.3820224719101,76.40449438202246,54.54545454545454,43.82022471910113,59.09090909090909,87.64044943820225,73.03370786516854,75.28089887640449,62.5,93.25842696629213
2022,94.44444444444444,88.88888888888889,95.77464788732394,86.11111111111111,50.0,41.66666666666667,44.927536231884055,88.88888888888889,76.38888888888889,84.72222222222221,61.111111111111114,95.83333333333334
2023,86.11111111111111,86.11111111111111,88.40579710144928,77.77777777777779,54.166666666666664,31.944444444444443,59.154929577464785,84.72222222222221,80.55555555555556,73.61111111111111,62.5,90.27777777777779
2024,87.5,90.27777777777779,95.77464788732394,77.77777777777779,52.112676056338024,50.0,59.154929577464785,86.11111111111111,72.22222222222221,83.33333333333334,58.333333333333336,91.66666666666666
