year,DeepSeek-V3.2,DeepSeek-V4-Flash,GLM-5.1,Llama-3.3-70B-Instruct-Turbo,Meta-Llama-3.1-8B-Instruct,Qwen3.5-0.8B,Qwen3.5-2B,Qwen3.5-4B,gemma-3-12b-it,gemma-3-27b-it,gemma-3-4b-it,gemma-4-31B-it
2018,80.0,83.33333333333334,91.01123595505618,64.44444444444444,51.11111111111111,34.883720930232556,43.333333333333336,82.22222222222221,64.44444444444444,68.88888888888889,54.44444444444444,87.77777777777777
2019,84.44444444444444,81.11111111111111,94.25287356321839,70.0,42.69662921348314,33.33333333333333,53.333333333333336,81.11111111111111,60.0,68.88888888888889,50.0,85.55555555555556
2020,85.55555555555556,88.88888888888889,85.55555555555556,74.44444444444444,52.22222222222223,40.44943820224719,51.11111111111111,85.39325842696628,58.88888888888889,67.77777777777779,54.44444444444444,85.55555555555556
2021,81.11111111111111,85.55555555555556,87.77777777777777,72.22222222222221,50.0,34.831460674157306,46.590909090909086,77.77777777777779,61.111111111111114,67.77777777777779,49.43820224719101,86.66666666666667
2022,85.55555555555556,87.77777777777777,92.22222222222223,77.77777777777779,50.0,43.333333333333336,53.48837209302325,84.44444444444444,74.44444444444444,77.77777777777779,51.11111111111111,92.22222222222223
2023,92.22222222222223,92.22222222222223,94.44444444444444,82.22222222222221,67.77777777777779,42.69662921348314,63.33333333333333,87.77777777777777,74.44444444444444,84.44444444444444,58.88888888888889,96.66666666666667
2024,91.11111111111111,86.66666666666667,95.45454545454545,80.0,61.36363636363637,42.5287356321839,63.2183908045977,89.8876404494382,71.11111111111111,73.33333333333333,50.0,92.22222222222223
