BK,TU,MR,IU,ML,PRK,CI
92.14876033057851,90.8,93.14128943758574,94.73684210526315,92.21556886227546,94.34782608695652,94.72843450479233
90.51020408163265,87.5,92.90586630286494,93.1129476584022,90.13806706114399,92.67241379310344,93.46092503987241
87.24489795918367,84.375,90.17735334242838,90.633608815427,87.3767258382643,89.65517241379311,90.74960127591707
86.73469387755102,84.765625,88.4038199181446,89.6694214876033,86.29191321499013,89.22413793103449,89.31419457735247
85.88957055214725,82.35294117647058,83.87978142076503,88.0,84.0909090909091,88.79310344827587,88.01916932907349
75.20408163265306,68.75,83.4924965893588,80.99173553719008,75.2465483234714,81.03448275862068,80.86124401913875
74.79591836734694,69.53125,79.1268758526603,81.26721763085399,73.86587771203156,81.89655172413794,82.13716108452951
69.28571428571428,63.671875,74.07912687585267,75.34435261707989,68.5404339250493,79.3103448275862,75.9170653907496
55.31697341513292,49.411764705882355,62.755798090040926,60.773480662983424,53.952569169960476,65.94827586206897,61.919999999999995
55.02590673575129,48.01587301587302,60.79234972677595,58.495821727019504,53.35335335335335,64.78260869565217,58.77616747181964
53.53846153846153,44.66403162055336,62.755798090040926,59.77808599167822,51.83349851337958,64.65517241379311,59.519999999999996
41.15822130299897,35.15625,45.82763337893297,42.45810055865922,39.16083916083916,50.8695652173913,42.16478190630048
