BK,TU,MR,IU,ML,PRK,CI
94.81481481481482,92.96600234466588,91.17647058823529,88.18897637795276,95.04950495049505,91.98167239404353,89.51781970649894
92.5925925925926,91.73457508731082,86.64921465968587,86.37532133676092,97.02970297029702,90.26047565118913,87.29508196721312
92.5925925925926,88.94062863795111,83.50785340314137,82.77634961439588,93.06930693069307,87.42921857304643,84.22131147540983
88.14814814814815,87.54365541327125,84.03141361256544,81.74807197943444,93.06930693069307,86.29671574178936,83.81147540983606
76.29629629629629,85.43123543123544,86.3517060367454,78.6082474226804,91.0891089108911,83.65493757094211,80.49281314168378
85.92592592592592,78.81257275902212,63.089005235602095,68.12339331619538,89.10891089108911,75.3114382785957,70.90163934426229
79.25925925925927,77.0663562281723,68.06282722513089,64.26735218508998,90.0990099009901,73.61268403171007,66.59836065573771
75.55555555555556,71.9441210710128,62.30366492146597,60.15424164524421,85.14851485148515,67.61041902604757,62.5
59.25925925925925,57.692307692307686,42.368421052631575,46.52956298200514,74.25742574257426,53.121452894438136,47.950819672131146
54.074074074074076,56.95754716981132,43.20652173913043,48.167539267015705,70.29702970297029,52.29885057471264,49.89561586638831
57.03703703703704,56.70945157526255,36.87002652519894,43.18766066838046,75.24752475247524,51.13895216400911,46.8041237113402
40.0,42.78959810874704,31.536388140161726,38.34196891191709,59.4059405940594,38.41743119266055,39.54451345755693
