BK,TU,MR,IU,ML,PRK,CI
2.6660544842363123,2.166002344665884,-1.9648188493504506,-6.547865727310395,2.8339360882195876,-2.366153692912988,-5.210614798293392
2.0823885109599445,4.234575087310816,-6.256651643179069,-6.737626321641287,6.891635909153038,-2.4119381419143195,-6.165843072659285
5.347694633408921,4.565628637951107,-6.669499939287007,-7.857259201031113,5.692581092428767,-2.2259538407466835,-6.528289800507238
1.4134542705971285,2.778030413271253,-4.372406305579162,-7.921349508168859,6.777393715702942,-2.927422189245135,-5.502719167516403
-9.593274255850957,3.078294254764856,2.4719246159803703,-9.391752577319593,6.9981998199820055,-5.138165877333762,-7.526356187389709
10.721844293272866,10.062572759022117,-20.4034913537567,-12.868342220994705,13.862362567617708,-5.723044480024981,-9.95960467487646
4.463340891912324,7.535106228172296,-11.064048627529417,-16.999865445764016,16.233132188958535,-8.283867692427862,-15.538800428791802
6.2698412698412795,8.272246071012802,-11.775461954386692,-15.19011097183568,16.608080926435846,-11.69992580153864,-13.417065390749599
3.9422858441263315,8.280542986425331,-20.38737703740935,-14.243917680978285,20.30485657261378,-12.826822967630832,-13.969180327868848
-0.9518326616772157,8.941674153938301,-17.585827987645523,-10.328282460003798,16.943676349616943,-12.483758120939534,-8.880551605431329
3.498575498575505,12.045419954709189,-25.88577156484199,-16.590425323297758,23.414026239095662,-13.516220249783998,-12.715876288659793
-1.1582213029989674,7.633348108747043,-14.291245238771246,-4.116131646742126,20.245101433220242,-12.452134024730746,-2.620268448743552
